group,exp_dir,sub_exp,epoch,clip_style,clip_s_delta_idt,clip_t,content_lpips,one_minus_lpips,clip_content,fid,artfid,eval_type,source,dataset
628_ablation,destructive,D22_attn_sparsemax/full_eval/epoch_0010,10,0.7303355101744333,0.0904146849114334,0.22924675405025485,0.34105413826666664,0.6589,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D23_endpoint_lowhigh/full_eval/epoch_0008,8,0.7298042009671529,0.08988337570415292,0.22897338833411535,0.3380386967733333,0.662,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D23_endpoint_lowhigh/full_eval/epoch_0009,9,0.7281882123947143,0.08826738713171435,0.2288941769003868,0.34022897777333333,0.6598,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D23_endpoint_lowhigh/full_eval/epoch_0010,10,0.7303714451789857,0.0904506199159856,0.22926789581775664,0.34107215796,0.6589,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D24_transport_endpoint/full_eval/epoch_0008,8,0.7298040842215221,0.089883258958522,0.228952630619208,0.33802004210666675,0.662,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D24_transport_endpoint/full_eval/epoch_0009,9,0.7282601062456767,0.08833928098267668,0.2288951794902484,0.3402225402533333,0.6598,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D24_transport_endpoint/full_eval/epoch_0010,10,0.7303389590581258,0.09041813379512582,0.2292366466720899,0.3410700698933333,0.6589,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D25_target_proj_dwt/full_eval/epoch_0008,8,0.7297529304822287,0.0898321052192286,0.22891912229855854,0.3380536536533333,0.6619,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D25_target_proj_dwt/full_eval/epoch_0009,9,0.7282186844348908,0.08829785917189074,0.22893313684066136,0.3402591737066667,0.6597,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D25_target_proj_dwt/full_eval/epoch_0010,10,0.7303331345717112,0.0904123093087112,0.22926214226086938,0.3410770897466666,0.6589,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D26_kinetic_per_band/full_eval/epoch_0008,8,0.7297409255504607,0.08982010028746082,0.22894573895136514,0.3380069276533334,0.662,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D26_kinetic_per_band/full_eval/epoch_0009,9,0.728231029589971,0.08831020432697091,0.22893497449159625,0.3401764796933333,0.6598,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D26_kinetic_per_band/full_eval/epoch_0010,10,0.7303516361713409,0.09043081090834093,0.22920909873644513,0.3410575643866667,0.6589,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D27_terminal_swd_hf/full_eval/epoch_0008,8,0.729787179072698,0.08986635380969794,0.22897732718785604,0.33803841188000006,0.662,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D27_terminal_swd_hf/full_eval/epoch_0009,9,0.7282332724730175,0.08831244721001738,0.2289186902443568,0.34021364829333334,0.6598,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D27_terminal_swd_hf/full_eval/epoch_0010,10,0.7302590453624725,0.09033822009947254,0.229238106807073,0.3410278562533333,0.659,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D28_bridge_tri_band/full_eval/epoch_0008,8,0.7297518038749693,0.08983097861196948,0.22896194855372112,0.33803616369333334,0.662,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D28_bridge_tri_band/full_eval/epoch_0009,9,0.7281767077445984,0.0882558824815984,0.22892970854043962,0.34025218504,0.6597,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D28_bridge_tri_band/full_eval/epoch_0010,10,0.7302573657035828,0.09033654044058277,0.2292410268386205,0.3410667736,0.6589,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D29_swd_squared/full_eval/epoch_0008,8,0.7297799842357636,0.08985915897276354,0.22896888756752015,0.3380311089333333,0.662,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D29_swd_squared/full_eval/epoch_0009,9,0.728336539109548,0.08841571384654794,0.22891338489452998,0.34019503521333333,0.6598,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D29_swd_squared/full_eval/epoch_0010,10,0.7302995653947195,0.09037874013171945,0.22923434011141464,0.34106278707999993,0.6589,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D2_adain_scale_0/full_eval/epoch_0008,8,0.715395495891571,0.07547467062857105,0.224720657179753,0.3227622394533334,0.6772,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D2_adain_scale_0/full_eval/epoch_0009,9,0.7120732227166493,0.07215239745364936,0.22528300984700522,0.33045913639999996,0.6695,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D2_adain_scale_0/full_eval/epoch_0010,10,0.7161262237230936,0.07620539846009367,0.22509307781855262,0.3270251235066667,0.673,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D2_color_w30/full_eval/epoch_0010,10,0.7387047079404195,-0.10680460540453592,0.2281364380717277,0.3792638095733334,0.6207,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D30_t_logit_normal/full_eval/epoch_0008,8,0.7298345631758373,0.0899137379128372,0.22893104447921117,0.3380270590533334,0.662,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D30_t_logit_normal/full_eval/epoch_0009,9,0.7281818091074626,0.08826098384446256,0.2288672605752945,0.3402155707066667,0.6598,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D30_t_logit_normal/full_eval/epoch_0010,10,0.7302447295188905,0.09032390425589039,0.22919804390271506,0.3410648988933333,0.6589,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D3_alpha_0/full_eval/epoch_0008,8,0.7284328331947326,0.08851200793173267,0.22934349087874092,0.3393569722,0.6606,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D3_alpha_0/full_eval/epoch_0009,9,0.7265519839127857,0.08663115864978584,0.2293013774553935,0.3423598005066667,0.6576,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D3_alpha_0/full_eval/epoch_0010,10,0.728683569431305,0.08876274416830494,0.22970528391003608,0.3431010733466667,0.6569,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D3_color_w70/full_eval/epoch_0010,10,0.7424734160105386,-0.10259043526649475,0.23118503868579868,0.39982116833333337,0.6002,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D4_avg_pool/full_eval/epoch_0008,8,0.7298933885892233,0.08997256332622322,0.2285340404311816,0.3875628059066667,0.6124,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D4_avg_pool/full_eval/epoch_0009,9,0.7292392721176149,0.08931844685461474,0.22889357205231986,0.38999088352,0.61,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D4_avg_pool/full_eval/epoch_0010,10,0.7303044023513795,0.0903835770883794,0.22877577751874922,0.38975978446666665,0.6102,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D4_color_w150/full_eval/epoch_0010,10,0.7441372150580088,-0.09556225554148357,0.23235136504968007,0.42558500860000004,0.5744,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D5_color_w300/full_eval/epoch_0010,10,0.7463763146400453,-0.08347898236910503,0.23472538044055305,0.4689021791333333,0.5311,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D5_skip_clean_off/full_eval/epoch_0008,8,0.7298596885999044,0.08993886333690437,0.22895160202185313,0.3380509391733333,0.6619,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D5_skip_clean_off/full_eval/epoch_0009,9,0.728238335609436,0.08831751034643603,0.22890922210613884,0.34021894642666667,0.6598,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D5_skip_clean_off/full_eval/epoch_0010,10,0.7303899684747062,0.090469143211706,0.2292356940706571,0.34107471622666663,0.6589,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D6_color50_hsv10/full_eval/epoch_0010,10,0.7373052787780762,-0.09843032638231913,0.22916529925664264,0.39422888545333334,0.6058,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D6_skip_blur_off/full_eval/epoch_0008,8,0.7297840945720674,0.08986326930906728,0.2289242555697759,0.33804001050666665,0.662,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D6_skip_blur_off/full_eval/epoch_0009,9,0.7281401669979095,0.08821934173490954,0.2288829904397329,0.34023093070666666,0.6598,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D6_skip_blur_off/full_eval/epoch_0010,10,0.7303911708990732,0.09047034563607326,0.22928278354803722,0.34105581336,0.6589,0.0,,,full_eval,remote_cached,
