point_id,source,superfamily,family,variant,label,trace_id,clip_style,content_lpips,one_minus_lpips,train_min,train_time_sec,order,note,label_dx,label_dy,source_summary,style_minus_idt
latent_curve::SaMAM::1500,latent_manual_curve,SaMAM-latent,SaMAM-latent,curve,Lat SaMAM 1500,SaMAM-latent-curve,0.6547481072942416,0.163526222025,0.836473777975,140.65,8439.0,1500.0,manual curve from retained latent convergence plot,,,,
legacy::SaMST::SaMST e5,legacy_transfer,SaMST,SaMST,SaMST e5,SaMST e5,SaMST,0.6989188100397586,0.6334999498166667,0.3665000501833333,115.97421666666666,6958.4529999999995,5.0,"Distinct5 local rerun, batch 1; transfer-only summary.analysis.style_transfer_ability",,,,
legacy::SaMST::SaMST e15,legacy_transfer,SaMST,SaMST,SaMST e15,SaMST e15,SaMST,0.69574123164018,0.6319495817333334,0.3680504182666666,347.25666666666666,20835.4,15.0,"retained endpoint, batch 2; transfer-only summary.analysis.style_transfer_ability",,,,
distinct5_512__SaMST-latent__b50_fast,results_master_extra,SaMST-latent,SaMST-latent,b50_fast,b50_fast,,0.6104393125,0.7295783353,0.27042166469999995,1.7763,106.578,,b50_fast,,,,
distinct5_512__SaMST-latent__b300_fast,results_master_extra,SaMST-latent,SaMST-latent,b300_fast,b300_fast,,0.6104393125,0.7295783353,0.27042166469999995,9.305,558.3,,b300_fast,,,,
latent_curve::SaMST::b50,latent_manual_curve,SaMST-latent,SaMST-latent,curve,Lat SaMST b50,SaMST-latent-curve,0.6104393125,0.7295783353,0.27042166469999995,1.7763,106.578,50.0,manual curve from retained latent same-cost/convergence plots,,,,
latent_curve::SaMST::b300,latent_manual_curve,SaMST-latent,SaMST-latent,curve,Lat SaMST b300,SaMST-latent-curve,0.6104393125,0.7295783353,0.27042166469999995,9.305,558.3,300.0,manual curve from retained latent same-cost/convergence plots,,,,
latent_curve::SaMST::950,latent_manual_curve,SaMST-latent,SaMST-latent,curve,Lat SaMST 950,SaMST-latent-curve,0.6944,0.8409,0.15910000000000002,,,950.0,manual curve from retained latent same-cost/convergence plots,,,,
latent_curve::SaMST::1050,latent_manual_curve,SaMST-latent,SaMST-latent,curve,Lat SaMST 1050,SaMST-latent-curve,0.6819825260837873,0.8318358248166667,0.16816417518333326,,,1050.0,manual curve from retained latent same-cost/convergence plots,,,,
inmortal::aaai2027_inmortal_xpred_bary_seed42_b16::epoch_0001,inmortal_epoch,XPred core,XPred_Barycenter,aaai2027_inmortal_xpred_bary_seed42_b16,XPred_Barycenter epoch_0001,aaai2027_inmortal_xpred_bary_seed42_b16,0.6997484004497528,0.7484691275333334,0.2515308724666666,1.850031073888143,111.00186443328857,1.0,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_inmortal_xpred_bary_seed42_b16/full_eval_fast_snapshot/epoch_0001/summary.json,,,,
inmortal::aaai2027_inmortal_xpred_bary_seed42_b16::epoch_0002,inmortal_epoch,XPred core,XPred_Barycenter,aaai2027_inmortal_xpred_bary_seed42_b16,XPred_Barycenter epoch_0002,aaai2027_inmortal_xpred_bary_seed42_b16,0.7107785097261271,0.7257869986833334,0.2742130013166666,3.6528240561485292,219.16944336891174,2.0,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_inmortal_xpred_bary_seed42_b16/full_eval_fast_snapshot/epoch_0002/summary.json,,,,
inmortal::aaai2027_inmortal_xpred_bary_seed42_b16::epoch_0003,inmortal_epoch,XPred core,XPred_Barycenter,aaai2027_inmortal_xpred_bary_seed42_b16,XPred_Barycenter epoch_0003,aaai2027_inmortal_xpred_bary_seed42_b16,0.7160556504130362,0.6558878441833333,0.34411215581666665,5.456804776191712,327.4082865715027,3.0,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_inmortal_xpred_bary_seed42_b16/full_eval_fast_snapshot/epoch_0003/summary.json,,,,
