src_style,tgt_style,src_slug,depth_mse,edge_iou
Impressionism,Minimalism,Impressionism__childe-hassam_september-moonrise,0.019814344123005867,0.0026098303610265334
Impressionism,Rococo,Impressionism__childe-hassam_september-moonrise,0.007821036502718925,0.0034617048896581565
Impressionism,Ukiyo_e,Impressionism__childe-hassam_september-moonrise,0.012501404620707035,0.0034873583260680036
Impressionism,Early_Renaissance,Impressionism__claude-monet_bordighera-the-house-of-gardener,0.013594035059213638,0.0
Impressionism,Impressionism,Impressionism__claude-monet_bordighera-the-house-of-gardener,0.0136568583548069,0.0
Impressionism,Minimalism,Impressionism__claude-monet_bordighera-the-house-of-gardener,0.02036973275244236,0.0005817335660267597
Impressionism,Rococo,Impressionism__claude-monet_bordighera-the-house-of-gardener,0.026922259479761124,0.0
Impressionism,Ukiyo_e,Impressionism__claude-monet_bordighera-the-house-of-gardener,0.015138722024857998,0.0
Impressionism,Early_Renaissance,Impressionism__claude-monet_palazzo-contarini-2,0.0028637663926929235,0.0
Impressionism,Impressionism,Impressionism__claude-monet_palazzo-contarini-2,0.0029601973947137594,0.0
Impressionism,Minimalism,Impressionism__claude-monet_palazzo-contarini-2,0.003325218567624688,0.0016233766233766235
Impressionism,Rococo,Impressionism__claude-monet_palazzo-contarini-2,0.0018850101623684168,0.0
Impressionism,Ukiyo_e,Impressionism__claude-monet_palazzo-contarini-2,0.002301506232470274,0.0
Impressionism,Early_Renaissance,Impressionism__claude-monet_rouen-cathedral-the-portal-at-midday,0.006100508850067854,0.0
Impressionism,Impressionism,Impressionism__claude-monet_rouen-cathedral-the-portal-at-midday,0.009621305391192436,0.0
Impressionism,Minimalism,Impressionism__claude-monet_rouen-cathedral-the-portal-at-midday,0.03432445973157883,0.0
Impressionism,Rococo,Impressionism__claude-monet_rouen-cathedral-the-portal-at-midday,0.009798652492463589,0.0
Impressionism,Ukiyo_e,Impressionism__claude-monet_rouen-cathedral-the-portal-at-midday,0.008186661638319492,0.0
Impressionism,Early_Renaissance,Impressionism__edgar-degas_ancer-with-red-stockings,0.0392298698425293,0.09126572054920964
Impressionism,Impressionism,Impressionism__edgar-degas_ancer-with-red-stockings,0.04268275201320648,0.0958513790745384
Impressionism,Minimalism,Impressionism__edgar-degas_ancer-with-red-stockings,0.04452718794345856,0.0388631090487239
Impressionism,Rococo,Impressionism__edgar-degas_ancer-with-red-stockings,0.0424409843981266,0.11011134855471826
Impressionism,Ukiyo_e,Impressionism__edgar-degas_ancer-with-red-stockings,0.051886916160583496,0.08777686628383921
Impressionism,Early_Renaissance,Impressionism__edgar-degas_study-of-gentile-bellini-1855,0.024507075548171997,0.17165991902834007
Impressionism,Impressionism,Impressionism__edgar-degas_study-of-gentile-bellini-1855,0.023197129368782043,0.19357366771159876
Impressionism,Minimalism,Impressionism__edgar-degas_study-of-gentile-bellini-1855,0.0374346598982811,0.1967741935483871
Impressionism,Rococo,Impressionism__edgar-degas_study-of-gentile-bellini-1855,0.027632612735033035,0.1968205904617714
Impressionism,Ukiyo_e,Impressionism__edgar-degas_study-of-gentile-bellini-1855,0.02566676214337349,0.1750814332247557
Impressionism,Early_Renaissance,Impressionism__edouard-manet_tarring-the-boat-1873,0.00267422734759748,0.11271329007450132
Impressionism,Impressionism,Impressionism__edouard-manet_tarring-the-boat-1873,0.002858937717974186,0.12455767869780608
Impressionism,Minimalism,Impressionism__edouard-manet_tarring-the-boat-1873,0.019875194877386093,0.07591799954944807
