"remote_root","exp_dir","source_file_count","total_hit_count","master_log_hit_count","experiment_doc_hit_count","review_doc_hit_count","paper_hit_count","hit_files"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","review_additional_experiments","199","8","0","7","0","0","docs\experiments\2026-05-16-directory-cleanup-pass-1.md;docs\experiments\2026-06-03-exp-surface-classification.md;docs\experiments\comparison_20260602\lancet_history_by_dataset.md;docs\experiments\comparison_20260602\lancet_history_registry.csv;docs\experiments\comparison_20260602\lancet_history_registry.json;docs\experiments\comparison_20260602\lancet_representative_points.csv;docs\experiments\comparison_20260602\scatter_points.csv;docs\maths\FULL_EVIDENCE_ANALYSIS_2026-05-16.md"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","runs","199","52","0","30","15","2","aaai_submission\final\paper.tex;aaai_submission\paper_aaai2026.tex;docs\aaai2027_working_index_20260602.md;docs\experiments\2026-05-09-black-dot-mitigation-report.md;docs\experiments\2026-05-10-full-dimensional-orthogonal-sweep-plan.md;docs\experiments\2026-05-11-baseline-reproduction-lab-notes.md;docs\experiments\2026-05-11-baseline-reproduction-progress.md;docs\experiments\2026-05-16-phase1-diagnostic-launcher.md;docs\experiments\2026-05-30-tokenizer-restart-design.md;docs\experiments\2026-05-31-aaai-saswd-plan.md;docs\experiments\2026-06-01-main-table-gap-analysis.md;docs\experiments\2026-06-02-aaai2027-paper-update-plan.md;docs\experiments\2026-06-02-distinct5-512-lancet-representation-speed.md;docs\experiments\2026-06-02-wikiart512-inference-speed.md;docs\experiments\2026-06-03-exp-surface-classification.md;docs\experiments\2026-06-03-flow-loss-metric-ablation\README.md;docs\experiments\2026-06-03-flow-loss-metric-ablation-protocol.md;docs\experiments\2026-06-03-selected-style-metrics-helper-smoke.md;docs\experiments\2026-06-03-time-to-parity\README.md;docs\experiments\2026-06-03-tokenizer-execution-alignment-protocol.md;docs\experiments\aaai2027_experiment_logging_contract_20260603.md;docs\experiments\blackdot_mitigation_runs.csv;docs\experiments\comparison_20260602\comparison_report.md;docs\experiments\comparison_20260602\lancet_history_registry.csv;docs\experiments\comparison_20260602\lancet_history_registry.json;docs\experiments\comparison_20260602\README.md;docs\experiments\comparison_20260602\scatter_points.csv;docs\experiments\distinct5_512_20260602\historical_experiments.md;docs\experiments\distinct5_512_20260602\lancet_runs.md;docs\experiments\distinct5_512_20260602\README.zh.md;docs\experiments\experiment_registry.csv;docs\experiments\experiment_registry.json;docs\experiments\metric_hacking_noop_20260602\README.md;docs\maths\05_style_transfer_problem_and_next_switches.md;docs\maths\CSV_STATISTICAL_APPENDIX_2026-05-16.md;docs\maths\FULL_EVIDENCE_ANALYSIS_2026-05-16.md;docs\quickstart.md;docs\reviews\aaai2027_adversarial_review_20260602.md;docs\reviews\aaai2027_adversarial_review_20260602_r2.md;docs\reviews\aaai2027_agent_ops_20260603.md;docs\reviews\aaai2027_boundary_followup_overclaims_20260603.md;docs\reviews\aaai2027_claim_safety_memo_20260603.md;docs\reviews\aaai2027_experiment_audit_20260602.md;docs\reviews\aaai2027_gate_c_time_to_parity_audit_20260603.md;docs\reviews\aaai2027_review_consensus_20260603.md;docs\reviews\aaai2027_review_score_log.csv;docs\reviews\aaai2027_rewrite_hit_list_20260603.md;docs\reviews\aaai2027_theory_owner_audit_20260603.md;docs\reviews\aaai2027_tokenizer_execution_packet_prelaunch_reread_20260603.md;docs\reviews\aaai2027_weak_reject_gate_checklist_20260603.md;docs\reviews\aaai2027_weak_reject_pressure_memo_20260603.md;docs\reviews\tokenizer_representation_theory_queue_20260603.md"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","saswd_axis_h_base_seed42_b44_saswd_random","199","5","1","3","2","0","docs\experiments\2026-06-03-saswd-axis-ablation\launch_manifest_20260603.md;docs\experiments\2026-06-03-saswd-axis-ablation\README.md;docs\experiments\aaai2027_master_experiment_log.csv;docs\reviews\aaai2027_agent_ops_20260603.md;docs\reviews\aaai2027_weak_reject_gate_checklist_20260603.md"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","saswd_axis_h_base_seed42_b44_saswd_semantic","199","5","1","4","1","0","docs\experiments\2026-06-03-saswd-axis-ablation\launch_manifest_20260603.md;docs\experiments\2026-06-03-saswd-axis-ablation\README.md;docs\experiments\aaai2027_experiment_logging_contract_20260603.md;docs\experiments\aaai2027_master_experiment_log.csv;docs\reviews\aaai2027_weak_reject_gate_checklist_20260603.md"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","scripts","199","13","0","5","2","2","aaai_submission\figures\README.md;aaai_submission\framework_figure.tikz.tex;docs\aaai2027_working_index_20260602.md;docs\cleanup\worktree_triage_20260603.md;docs\experiments\2026-05-11-baseline-reproduction-lab-notes.md;docs\experiments\2026-05-11-baseline-reproduction-progress.md;docs\experiments\2026-05-16-root-directory-audit.md;docs\experiments\2026-06-02-aaai2027-paper-update-plan.md;docs\experiments\2026-06-03-exp-surface-classification.md;docs\references\ai_research_prompt_usage_20260602.md;docs\remote_server.md;docs\reviews\aaai2027_scorecard_20260602.md;docs\reviews\tokenizer_probe_checkpoint_reselection_policy_20260603.md"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","smoke_lowfreq_moment_hfguard_b48","199","0","0","0","0","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","spatial_prototype_init","199","0","0","0","0","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","split_axis_color_channel_operator_120b_b80","199","0","0","0","0","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","split_axis_color_channel_operator_realism4_120b_b80","199","0","0","0","0","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","split_axis_execdecoder_40b_lr2e4","199","0","0","0","0","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","split_axis_execdecoder_bound070_120b_lr2e4","199","0","0","0","0","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","split_axis_execdecoder_bound090_120b_lr2e4","199","0","0","0","0","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","split_axis_execdecoder_fieldbound_c045_s090_g110_120b","199","0","0","0","0","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","split_axis_execdecoder_tokprobe_e1_b32","199","0","0","0","0","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","split_axis_geometry_derivative_filter_rank4_120b","199","0","0","0","0","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","split_axis_geometry_derivgate_fieldbound_g005_120b","199","1","0","1","0","0","docs\experiments\distinct5_512_20260602\historical_experiments.md"
